Species,Genus
Rhyacophila_glaberrima_montana,Rhyacophila
Pseudochironomus_spp,Pseudochironomus
Perithemis_tenera,Perithemis
Elliptio_spp,Elliptio
Orthocladius_nigritus,Orthocladius
Nyctiophylax_nephophilus,Nyctiophylax
Pilaria_spp,Pilaria
Isoperla_dicala,Isoperla
Synurella_spp,Synurella
Tipulidae,Tipulidae
Zalutschia_sp_A,Zalutschia
Psilotreta_frontalis,Psilotreta
Cassidinidea_lunifrons,Cassidinidea
Rhyacophila_minora,Rhyacophila
Neurocordulia_spp,Neurocordulia
Kiefferulus_dux,Kiefferulus
Cricotopus_fugax,Cricotopus
Spirosperma_nikolskyi,Spirosperma
Pagastia_orthogonia,Pagastia
Brachycentrus_lateralis,Brachycentrus
Nyctiophylax_moestus,Nyctiophylax
Dromogomphus_spinosus,Dromogomphus
Oecetis_scala_gr,Oecetis
Hydropsyche_H_mississippiensis,Hydropsyche
Polypedilum_spp,Polypedilum
Cricotopus_sylvestris_gr,Cricotopus
Larsia_spp,Larsia
Heteroplectron_americanum,Heteroplectron
Tvetenia_spp,Tvetenia
Caecidotea_sp_1,Caecidotea
Caecidotea_laticaudatus,Caecidotea
Nectopsyche_spp,Nectopsyche
Cryptotendipes_spp,Cryptotendipes
Hydropsyche_C_spp,Hydropsyche
Triaenodes_injustus,Triaenodes
Unionidae,Unionidae
Cladotanytarsus_viridiventris,Cladotanytarsus
Eukiefferiella_pseudomontana_gr,Eukiefferiella
Paragnetina_kansensis,Paragnetina
Tanytarsus_gibbus,Tanytarsus
Maccaffertium_lenati,Maccaffertium
Ablabesmyia_annulata,Ablabesmyia
Ranatra_spp,Ranatra
Epeorus_spp,Epeorus
Eukiefferiella_brehmi_gr,Eukiefferiella
Polypedilum_trigonus,Polypedilum
Fattigia_pele,Fattigia
Orthocladius_clarkei_gr,Orthocladius
Micrasema_rickeri,Micrasema
Hetaerina_spp,Hetaerina
Rheopelopia_acra_gr,Rheopelopia
Nectopsyche_n_sp,Nectopsyche
Nasiaeschna_pentacantha,Nasiaeschna
Acerpenna_macdunnoughi,Acerpenna
Triaenodes_ochraceus,Triaenodes
Agnetina_annulipes,Agnetina
Paracladopelma_spp,Paracladopelma
Zavrelimyia_spp,Zavrelimyia
Tribelos_spp,Tribelos
Scirtes_spp,Scirtes
Brachycentrus_chelatus,Brachycentrus
Natarsia_spp,Natarsia
Oecetis_spp,Oecetis
Helicopsyche_borealis,Helicopsyche
Nanocladius_crassicornus_cf_rectinervis,Nanocladius
Belostoma_spp,Belostoma
Macrostemum_spp,Macrostemum
Odontomesa_fulva,Odontomesa
Tvetenia_sp_NC,Tvetenia
Tvetenia_sp_GA,Tvetenia
Caecidotea_racovitzai,Caecidotea
Ephemerellidae,Ephemerellidae
Cladotanytarsus_cf_daviesi,Cladotanytarsus
Oulimnius_latiusculus,Oulimnius
Nyctiophylax_celta,Nyctiophylax
Brachycentrus_sp_A,Brachycentrus
Glossosomatidae,Glossosomatidae
Anopheles_spp,Anopheles
Eukiefferiella_gracei_gr,Eukiefferiella
Perichaetine_oligochaete,Perichaetine
Haplotaxis_gordioides,Haplotaxis
Helobdella_stagnalis,Helobdella
Rhyacophila_spp,Rhyacophila
Potthastia_cf_gaedii,Potthastia
Isogenoides_spp,Isogenoides
Anisocentropus_pyraloides,Anisocentropus
Acentrella_alachua,Acentrella
Prostoma_graecense,Prostoma
Labrundinia_pilosella,Labrundinia
Stylaria_lacustris,Stylaria
Alloperla_spp,Alloperla
Helobdella_triserialis,Helobdella
Optioservus_trivittatus,Optioservus
Sigara_spp,Sigara
Isoperla_orata,Isoperla
Ranatra_buenoi,Ranatra
Nanocladius_sp_5,Nanocladius
Tabanus_spp,Tabanus
Anthopotamus_distinctus,Anthopotamus
Oecetis_georgia,Oecetis
Rhyacophila_torva,Rhyacophila
Orthocladius_frigidus,Orthocladius
Stenonema_femoratum,Stenonema
Potthastia_longimana,Potthastia
Paralauterborniella_nigrohalteralis,Paralauterborniella
Procambarus_spp,Procambarus
Branchiura_sowerbyi,Branchiura
Epitheca_princeps,Epitheca
Pseudosuccinea_columella,Pseudosuccinea
Clioperla_clio,Clioperla
Psychomyia_flavida,Psychomyia
Limnodrilus_spp,Limnodrilus
Diphetor_hageni,Diphetor
Sublettea_coffmani,Sublettea
Microtendipes_spp,Microtendipes
Parachaetocladius_abnobaeus,Parachaetocladius
Suwallia_marginata,Suwallia
Paratrichocladius_spp,Paratrichocladius
Optioservus_spp,Optioservus
Orthocladius_luteipes_thienemanni,Orthocladius
Hetaerina_americana,Hetaerina
Thienemanniella_xena,Thienemanniella
Helicopsyche_spp,Helicopsyche
Libellula_spp,Libellula
Micropsectra_polita,Micropsectra
Epitheca_spp,Epitheca
Acroneuria_carolinensis,Acroneuria
Ilyodrilus_templetoni,Ilyodrilus
Hydropsyche_H_elissoma,Hydropsyche
Isoperla_similis_pseudosimilis_gr,Isoperla
Kiefferulus_spp,Kiefferulus
Rheocricotopus_spp,Rheocricotopus
Palaemonetes_spp,Palaemonetes
Clinotanypus_spp,Clinotanypus
Acroneuria_spp,Acroneuria
Hydropsyche_C_alhedra,Hydropsyche
Hydropsyche_C_slossonae,Hydropsyche
Psilotreta_labida,Psilotreta
Pachydiplax_longipennis,Pachydiplax
Saetheria_tylus,Saetheria
Eukiefferiella_devonica_gr,Eukiefferiella
Tricorythodes_robacki,Tricorythodes
Paratanytarsus_quadratus_gr,Paratanytarsus
Apatania_spp,Apatania
Orthocladius_spp,Orthocladius
Paratanytarsus_longistylus,Paratanytarsus
Trichocorixa_spp,Trichocorixa
Synorthocladius_spp,Synorthocladius
Corixidae,Corixidae
Mystacides_sepulchralis,Mystacides
Ameletus_cryptostimulus,Ameletus
Caecidotea_sp_3,Caecidotea
Chrysops_spp,Chrysops
Berosus_spp,Berosus
Brillia_sera,Brillia
Cultus_decisus_complex,Cultus
Nigronia_fasciatus,Nigronia
Petrophila_spp,Petrophila
Protoptila_spp,Protoptila
Tanytarsus_sp_G_gr,Tanytarsus
Oligostomis_pardalis,Oligostomis
Haploperla_brevis,Haploperla
